teks,label
"Presiden meresmikan bendungan baru untuk irigasi pertanian",asli
"Kementerian Kesehatan umumkan penurunan kasus COVID-19",asli
"Pemerintah targetkan swasembada pangan tahun 2025",asli
"BPOM nyatakan vaksin booster aman digunakan masyarakat",asli
"Menko Perekonomian sebut inflasi Indonesia masih terkendali",asli
"Polri lakukan patroli rutin untuk amankan pemilu",asli
"Kementerian Kominfo blokir situs judi online ilegal",asli
"Bank Indonesia keluarkan uang baru pecahan Rp75.000",asli
"Presiden hadiri KTT ASEAN di Jakarta minggu depan",asli
"Pemerintah beri subsidi listrik untuk pelanggan 450 VA",asli
"Minyak zaitun bisa mencegah semua penyakit kronis",hoaks
"Tidur dengan posisi utara bisa menyerap energi bumi",hoaks
"Vaksin mengandung mikrochip yang melacak pikiran",hoaks
"Mengonsumsi cuka apel bisa menyembuhkan kanker",hoaks
"Gelombang 5G menyebabkan radiasi berbahaya di tubuh",hoaks
"Mengoleskan bawang merah ke kaki bisa menyembuhkan demam",hoaks
"Sinar matahari jam 12 siang paling baik untuk tubuh",hoaks
"Daun binahong bisa menyembuhkan diabetes dalam 3 hari",hoaks
"Air bekas cucian beras bisa menyembuhkan rabun jauh",hoaks
"Semua penyakit bisa disembuhkan hanya dengan doa",hoaks
